"","SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_TYPE_SUITE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","REGION_POPULATION_RELATIVE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_REGISTRATION","DAYS_ID_PUBLISH","FLAG_MOBIL","FLAG_EMP_PHONE","FLAG_WORK_PHONE","FLAG_CONT_MOBILE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","REGION_RATING_CLIENT","REGION_RATING_CLIENT_W_CITY","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","REG_REGION_NOT_LIVE_REGION","REG_REGION_NOT_WORK_REGION","LIVE_REGION_NOT_WORK_REGION","REG_CITY_NOT_LIVE_CITY","REG_CITY_NOT_WORK_CITY","LIVE_CITY_NOT_WORK_CITY","ORGANIZATION_TYPE","EXT_SOURCE_2","EXT_SOURCE_3","FONDKAPREMONT_MODE","HOUSETYPE_MODE","WALLSMATERIAL_MODE","EMERGENCYSTATE_MODE","OBS_30_CNT_SOCIAL_CIRCLE","DEF_30_CNT_SOCIAL_CIRCLE","OBS_60_CNT_SOCIAL_CIRCLE","DEF_60_CNT_SOCIAL_CIRCLE","DAYS_LAST_PHONE_CHANGE","AMT_REQ_CREDIT_BUREAU_HOUR","AMT_REQ_CREDIT_BUREAU_DAY","AMT_REQ_CREDIT_BUREAU_WEEK","AMT_REQ_CREDIT_BUREAU_MON","AMT_REQ_CREDIT_BUREAU_QRT","AMT_REQ_CREDIT_BUREAU_YEAR","BASEMENTAREA_AVG","YEARS_BEGINEXPLUATATION_AVG","YEARS_BUILD_AVG","COMMONAREA_AVG","ELEVATORS_AVG","ENTRANCES_AVG","FLOORSMAX_AVG","FLOORSMIN_AVG","LANDAREA_AVG","LIVINGAPARTMENTS_AVG","LIVINGAREA_AVG","NONLIVINGAPARTMENTS_AVG","NONLIVINGAREA_AVG","APARTMENTS_MODE","BASEMENTAREA_MODE","YEARS_BUILD_MODE","YEARS_BEGINEXPLUATATION_MODE","COMMONAREA_MODE","ELEVATORS_MODE","FLOORSMIN_MODE","LIVINGAREA_MODE","APARTMENTS_MEDI","YEARS_BUILD_MEDI","ENTRANCES_MEDI","LANDAREA_MEDI","NONLIVINGAPARTMENTS_MEDI","NONLIVINGAREA_MEDI","FONDKAPREMONT_MODE.1","LIVINGAREA_MEDI","FLOORSMIN_MEDI","ELEVATORS_MEDI","YEARS_BEGINEXPLUATATION_MEDI","NONLIVINGAREA_MODE","LIVINGAPARTMENTS_MODE","FLOORSMAX_MODE","COMMONAREA_MODE.1","BASEMENTAREA_MODE.1","NONLIVINGAPARTMENTS_AVG.1","LANDAREA_AVG.1","ENTRANCES_AVG.1","YEARS_BUILD_AVG.1","APARTMENTS_AVG","EXT_SOURCE_1"
"255969",396188,0,"Cash loans","M","N","N",0,225000,450000,42075,450000,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.018801,-18840,-2421,-6778,-2395,1,1,0,1,1,0,"Core staff",2,2,2,"THURSDAY",6,0,0,0,0,1,1,"Trade: type 2",0.605030213805607,0.819317692287242,"reg oper account","block of flats","Panel","No",0,0,0,0,-1780,0,0,0,3,0,3,0.236,0.9816,0.7484,0.0568,0,0.2069,0.1667,0.2083,0,0.0748,0.0781,0.0039,0.0042,0.0945,0.2449,0.7583,0.9816,0.0574,0,0.2083,0.0814,0.0937,0.7518,0.2069,0,0.0039,0.0043,"reg oper account",0.0796,0.2083,0,0.9816,0.0045,0.0817,0.1667,0.0574,0.2449,0.0039,0,0.2069,0.7484,0.0928,NA
"172012",299347,0,"Cash loans","M","Y","N",0,144000,1113840,57001.5,9e+05,"Unaccompanied","Commercial associate","Secondary / secondary special","Single / not married","House / apartment",0.020713,-10571,-2004,-5287,-3255,1,1,0,1,0,0,"Laborers",1,3,2,"THURSDAY",5,0,0,0,0,0,0,"Transport: type 2",0.250314435714145,0.843543538931865,"","","","",2,0,2,0,-1967,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127001390159228
"257407",397875,0,"Cash loans","M","N","N",1,270000,755190,36459,675000,"Unaccompanied","Working","Secondary / secondary special","Single / not married","With parents",0.018634,-10956,-1972,-1826,-3601,1,1,0,1,0,0,"High skill tech staff",2,2,2,"THURSDAY",18,0,0,0,0,0,0,"Business Entity Type 3",0.633795394112712,0.586740008541568,"","block of flats","Block","No",1,0,1,0,-1,0,0,0,0,0,6,NA,0.9687,NA,NA,0,0.069,0.0417,NA,0.0133,NA,0.0126,NA,0.0252,0.0084,NA,NA,0.9687,NA,0,NA,0.0131,0.0083,NA,0.069,0.0136,NA,0.0258,"",0.0128,NA,0,0.9687,0.0267,NA,0.0417,NA,NA,NA,0.0133,0.069,NA,0.0082,0.146130969977339
"166714",293268,0,"Cash loans","F","N","Y",0,112500,772686,22720.5,553500,"Unaccompanied","Working","Lower secondary","Married","House / apartment",0.01885,-19690,-3480,-7994,-3212,1,1,0,1,0,0,"Security staff",2,2,2,"WEDNESDAY",10,0,0,0,0,0,0,"Self-employed",0.663094570695911,NA,"","","","",0,0,0,0,-1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193209",324051,0,"Cash loans","F","N","Y",0,247500,742500,38038.5,742500,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.01452,-14410,-792,-1587,-4300,1,1,0,1,0,0,"Sales staff",2,2,2,"SATURDAY",12,0,0,0,0,0,0,"Trade: type 7",0.388418828410885,0.570916541772999,"","","","",0,0,0,0,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351135456536905
"283135",427927,0,"Cash loans","M","Y","Y",2,112500,640080,31261.5,450000,"Family","Working","Secondary / secondary special","Married","House / apartment",0.010032,-15042,-3858,-479,-4110,1,1,0,1,0,0,"Security staff",4,2,2,"FRIDAY",9,0,0,0,0,0,0,"Security",0.657079347899001,0.549596502495695,"","block of flats","Panel","No",1,0,1,0,-312,0,0,0,1,0,1,0.0897,0.9816,0.7484,0.0671,0.16,0.1379,0.3333,0.375,0.1034,0.1194,0.141,0,0,0.1492,0.0931,0.7583,0.9816,0.0677,0.1611,0.375,0.1469,0.1478,0.7518,0.1379,0.1052,0,0,"",0.1436,0.375,0.16,0.9816,0,0.1304,0.3333,0.0677,0.0931,0,0.1034,0.1379,0.7484,0.1464,NA
"289410",435291,0,"Cash loans","M","Y","Y",0,144000,9e+05,48082.5,9e+05,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.001417,-18884,-7165,-940,-2412,1,1,0,1,0,0,"Drivers",2,2,2,"FRIDAY",8,0,0,0,0,0,0,"Self-employed",0.251144278334717,NA,"","","","",2,0,2,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137496",259468,0,"Revolving loans","F","N","N",0,270000,135000,6750,135000,"Unaccompanied","Pensioner","Secondary / secondary special","Civil marriage","House / apartment",0.018209,-21938,365243,-1443,-3922,1,0,0,1,0,0,"",2,3,3,"THURSDAY",12,0,0,0,0,0,0,"XNA",0.330181335531559,0.399675615623317,"","","","",0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446106350042335
"89657",204093,0,"Cash loans","F","Y","Y",2,81000,225000,24232.5,225000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.00712,-11767,-1173,-5018,-2938,1,1,1,1,0,0,"",4,2,2,"MONDAY",8,0,0,0,0,1,1,"Business Entity Type 3",0.348255234763049,0.4048783643354,"","","","",1,0,1,0,-516,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654687688818786
"270943",414092,0,"Cash loans","F","Y","N",0,67500,225000,23638.5,225000,"Unaccompanied","Pensioner","Secondary / secondary special","Married","House / apartment",0.031329,-23383,365243,-8274,-4774,1,0,0,1,1,0,"",2,2,2,"TUESDAY",14,0,0,0,0,0,0,"XNA",0.559531465409083,NA,"","block of flats","Block","No",0,0,0,0,-461,NA,NA,NA,NA,NA,NA,0.0782,0.9742,NA,NA,0,0.1379,0.1667,NA,0.0167,NA,0.0415,NA,NA,0.084,0.0811,NA,0.9742,NA,0,NA,0.0432,0.0833,NA,0.1379,0.017,NA,NA,"",0.0422,NA,0,0.9742,NA,NA,0.1667,NA,0.0811,NA,0.0167,0.1379,NA,0.0825,NA
"264153",405888,0,"Cash loans","M","Y","Y",0,337500,254700,20250,225000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.007305,-12860,-4713,-1793,-4485,1,1,0,1,0,0,"Laborers",2,3,3,"WEDNESDAY",10,0,0,0,0,0,0,"Transport: type 2",0.578427662387153,0.772631134555363,"reg oper account","block of flats","Stone, brick","No",0,0,0,0,-2514,0,0,0,0,0,1,0,0.9786,0.7076,0.0077,0,0.069,0.125,0.0417,0.0077,0.0479,0.0203,0,0,0.0599,0,0.719,0.9786,0.0078,0,0.0417,0.0211,0.0593,0.7115,0.069,0.0078,0,0,"reg oper account",0.0206,0.0417,0,0.9786,0,0.0523,0.125,0.0078,0,0,0.0077,0.069,0.7076,0.0588,NA
"168444",295247,0,"Cash loans","F","N","Y",2,180000,521280,41926.5,450000,"Unaccompanied","Working","Secondary / secondary special","Single / not married","House / apartment",0.010643,-11171,-769,-8018,-3699,1,1,0,1,1,0,"Laborers",3,2,2,"FRIDAY",10,0,0,0,0,1,1,"Business Entity Type 2",0.135597024628592,0.646329897706246,"reg oper spec account","block of flats","Stone, brick","No",0,0,0,0,-1260,0,0,0,0,0,1,0.0911,0.9891,0.8504,0.014,0,0.2069,0.1667,0.0417,0.057,0.0572,0.0718,0.0077,0.0132,0.0735,0.0946,0.8563,0.9891,0.0142,0,0.0417,0.0748,0.0729,0.8524,0.2069,0.058,0.0078,0.0134,"reg oper spec account",0.0731,0.0417,0,0.9891,0.0139,0.0624,0.1667,0.0142,0.0946,0.0077,0.057,0.2069,0.8504,0.0722,NA
"185106",314568,0,"Cash loans","F","Y","N",0,180000,315000,16213.5,315000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.010643,-16987,-3440,-10840,-522,1,1,0,1,1,0,"",2,2,2,"THURSDAY",12,0,0,0,0,0,0,"Industry: type 3",0.61895568108848,0.309275355884205,"org spec account","block of flats","Stone, brick","No",0,0,0,0,-330,0,0,0,0,0,2,0.106,0.9771,0.6872,NA,NA,0.2759,0.1667,NA,0.1084,NA,0.1171,NA,0.0251,0.1334,0.11,0.6994,0.9772,NA,NA,NA,0.122,0.1322,0.6914,0.2759,0.1103,NA,0.0256,"org spec account",0.1192,NA,NA,0.9771,0.0266,NA,0.1667,NA,0.11,NA,0.1084,0.2759,0.6872,0.1309,0.5064862373663
"218985",353690,0,"Cash loans","F","Y","N",0,120325.5,143910,13315.5,135000,"Unaccompanied","State servant","Higher education","Separated","With parents",0.01885,-11201,-2796,-680,-758,1,1,1,1,0,0,"Core staff",1,2,2,"WEDNESDAY",17,0,0,0,0,0,0,"Security Ministries",0.708184918833125,0.237916079507114,"","block of flats","Stone, brick","No",0,0,0,0,-1,0,0,0,0,0,0,0.1403,0.9796,0.7212,0.0167,0,0.2414,0.1667,NA,NA,0.1051,0.1118,0.0077,0.0894,0.1313,0.1456,0.7321,0.9796,0.0168,0,NA,0.1165,0.1301,0.7249,0.2414,NA,0.0078,0.0913,"",0.1138,NA,0,0.9796,0.0947,0.1148,0.1667,0.0168,0.1456,0.0077,NA,0.2414,0.7212,0.1289,0.450043394983338
"49660",157486,0,"Cash loans","F","N","Y",0,47250,101880,5976,90000,"Unaccompanied","Pensioner","Secondary / secondary special","Single / not married","House / apartment",0.00712,-22999,365243,-4906,-4925,1,0,0,1,1,0,"",1,2,2,"MONDAY",11,0,0,0,0,0,0,"XNA",0.564537371509624,0.740799087970234,"","","","",0,0,0,0,-354,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1118",101306,0,"Cash loans","F","N","Y",0,180000,545040,43191,450000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.010006,-22246,-308,-6306,-4076,1,1,0,1,0,0,"",2,2,1,"THURSDAY",10,0,0,0,0,0,0,"Business Entity Type 3",0.625995784758991,0.241861486523466,"reg oper account","block of flats","Panel","No",2,1,2,0,-646,0,0,1,0,0,4,0.08,0.9776,0.694,0.0105,0,0.1379,0.1667,0.2083,0.0401,0.0672,0.0693,0,0,0.084,0.083,0.706,0.9777,0.0106,0,0.2083,0.0722,0.0833,0.6981,0.1379,0.0408,0,0,"reg oper account",0.0706,0.2083,0,0.9776,0,0.0735,0.1667,0.0106,0.083,0,0.0401,0.1379,0.694,0.0825,NA
"39655",145910,0,"Cash loans","F","Y","Y",0,90000,450000,44509.5,450000,"Unaccompanied","Working","Higher education","Single / not married","House / apartment",0.018634,-11488,-618,-5640,-4069,1,1,1,1,1,0,"Sales staff",1,2,2,"THURSDAY",8,0,0,0,0,0,0,"Self-employed",0.636243349282773,0.73381453696427,"reg oper account","block of flats","Stone, brick","No",4,1,4,1,-1780,0,0,0,0,2,2,0.0838,0.9871,0.8232,0.0108,0,0.2069,0.1667,0.0417,0.0691,0.0605,0.0676,0,0.1064,0.0756,0.087,0.8301,0.9871,0.0109,0,0.0417,0.0704,0.0749,0.8256,0.2069,0.0703,0,0.1086,"reg oper account",0.0688,0.0417,0,0.9871,0.1126,0.0661,0.1667,0.0109,0.087,0,0.0691,0.2069,0.8232,0.0742,0.511856591295387
"231673",368344,0,"Cash loans","M","N","Y",0,180000,1223010,48631.5,1125000,"Unaccompanied","State servant","Incomplete higher","Single / not married","House / apartment",0.032561,-10987,-2033,-1846,-3537,1,1,0,1,1,0,"Core staff",1,1,1,"WEDNESDAY",18,0,0,0,0,0,0,"Police",0.737206868977561,0.459690450424902,"","block of flats","Stone, brick","No",4,0,4,0,0,0,0,0,0,0,2,0,0.9434,NA,NA,0,0.1034,0.125,NA,0.0284,NA,0.0181,NA,0.0264,0.0126,0,NA,0.9434,NA,0,NA,0.0189,0.0125,NA,0.1034,0.0289,NA,0.027,"",0.0185,NA,0,0.9434,0.028,NA,0.125,NA,0,NA,0.0284,0.1034,NA,0.0124,0.579005778628849
"131614",252646,0,"Revolving loans","F","N","Y",0,45000,202500,10125,202500,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.004849,-9616,-1694,-5815,-1263,1,1,0,1,0,0,"Sales staff",2,2,2,"TUESDAY",12,0,0,0,0,0,0,"Self-employed",0.0217299381177786,0.434733248750173,"reg oper spec account","block of flats","Stone, brick","No",0,0,0,0,0,0,0,0,0,0,3,0.0811,0.9781,0.7008,0.0192,0,0.0948,0.1667,NA,0.0708,0.1084,0.0647,0.0039,0.0322,0.1712,0.0226,0.7125,0.9786,0.0143,0,NA,0.0568,0.1697,0.7048,0.069,0.0602,0.0039,0.0368,"reg oper spec account",0.0564,NA,0,0.9786,0.0109,0.0882,0.1667,0.0143,0.0226,0.0039,0.0708,0.0948,0.7008,0.1523,NA
"56017",164911,0,"Cash loans","F","Y","Y",2,112500,808650,23773.5,675000,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","House / apartment",0.018209,-14114,-158,-6901,-3946,1,1,0,1,0,0,"Laborers",4,3,3,"WEDNESDAY",11,0,0,0,0,0,0,"School",0.612015816994001,0.656158373001177,"","","","",8,0,7,0,-1424,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
