student_id,age,gender,marital_status,course,attendance,admission_grade,previous_grade,scholarship,tuition_up_to_date,debtor,semester1_enrolled,semester1_approved,semester1_grade,semester2_enrolled,semester2_approved,semester2_grade,semester1_success_rate,semester2_success_rate,status
47,18,Female,Single,Social Service,Daytime,127.6,130.0,No,Yes,No,6,6,11.7,6,5,13.2,100.0,83.3,Graduate
48,22,Female,Single,Nursing,Daytime,132.4,132.0,Yes,Yes,No,7,6,13.5,8,7,13.8,85.7,87.5,Graduate
49,21,Female,Single,Social Service,Evening,133.4,130.0,Yes,Yes,No,6,6,11.5,6,6,13.3,100.0,100.0,Graduate
50,19,Female,Single,Social Service,Daytime,126.1,139.0,Yes,Yes,No,6,5,12.3,6,6,12.8,83.3,100.0,Graduate
51,24,Female,Single,Tourism,Daytime,113.5,130.0,Yes,Yes,No,6,6,13.7,6,6,14.2,100.0,100.0,Graduate
52,19,Female,Single,Nursing,Daytime,121.3,139.0,Yes,Yes,No,8,6,11.8,8,6,11.8,75.0,75.0,Enrolled
53,20,Female,Single,Journalism,Daytime,121.8,127.0,Yes,Yes,No,6,4,14.0,6,3,11.0,66.7,50.0,Enrolled
54,19,Female,Single,Equinculture,Daytime,159.3,167.0,No,Yes,No,5,5,14.7,5,5,15.8,100.0,100.0,Graduate
55,27,Female,Single,Management,Evening,120.0,130.0,No,Yes,No,5,5,10.6,5,5,11.0,100.0,100.0,Dropout
56,18,Female,Single,Nursing,Daytime,129.1,130.0,No,Yes,No,7,7,13.0,8,8,13.6,100.0,100.0,Graduate
57,39,Female,Married,Tourism,Daytime,130.0,130.0,No,Yes,No,6,0,0.0,6,0,0.0,0.0,0.0,Dropout
58,27,Female,Single,Equinculture,Daytime,155.3,129.0,No,Yes,No,6,5,13.0,11,10,12.9,83.3,90.9,Dropout
59,18,Female,Single,Nursing,Daytime,139.8,141.0,No,Yes,No,8,8,14.9,8,8,14.9,100.0,100.0,Graduate
60,18,Female,Single,Animation & Design,Daytime,115.2,125.0,No,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Enrolled
61,18,Female,Single,Nursing,Daytime,114.9,125.0,No,Yes,No,7,6,13.1,8,7,12.2,85.7,87.5,Graduate
62,21,Female,Single,Social Service,Daytime,131.9,130.0,Yes,Yes,No,6,6,12.0,6,6,12.0,100.0,100.0,Graduate
63,19,Male,Single,Animation & Design,Daytime,126.0,133.0,Yes,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Enrolled
64,19,Male,Single,Communication Design,Daytime,130.2,127.0,No,Yes,No,6,5,11.4,6,1,10.0,83.3,16.7,Enrolled
65,24,Male,Single,Communication Design,Daytime,120.9,116.0,No,Yes,No,6,0,0.0,6,0,0.0,0.0,0.0,Enrolled
66,29,Male,Divorced,Nursing,Daytime,126.0,133.1,No,Yes,No,7,5,11.9,8,5,11.0,71.4,62.5,Dropout
67,19,Male,Single,Animation & Design,Daytime,128.2,139.0,Yes,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Graduate
68,23,Male,Single,Agronomy,Daytime,130.0,130.0,No,Yes,No,6,6,12.6,6,6,12.4,100.0,100.0,Graduate
69,19,Male,Single,Management,Daytime,120.1,125.0,No,Yes,Yes,5,5,11.2,5,4,10.8,100.0,80.0,Dropout
70,26,Male,Single,Tourism,Daytime,100.0,160.0,No,Yes,No,6,6,12.0,6,5,10.8,100.0,83.3,Enrolled
71,18,Male,Single,Management,Daytime,134.0,148.0,No,Yes,No,5,0,0.0,5,0,0.0,0.0,0.0,Enrolled
72,24,Male,Single,Nursing,Daytime,130.8,150.0,No,Yes,No,7,7,12.0,8,8,13.8,100.0,100.0,Graduate
73,19,Male,Single,Animation & Design,Daytime,135.8,141.0,No,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Dropout
74,18,Male,Single,Tourism,Daytime,111.7,118.0,No,Yes,No,6,3,11.7,6,1,12.0,50.0,16.7,Dropout
75,18,Male,Single,Journalism,Daytime,132.9,142.0,No,Yes,No,6,6,12.3,6,3,12.3,100.0,50.0,Graduate
76,18,Male,Single,Management,Daytime,115.5,120.0,No,Yes,Yes,5,3,10.3,5,3,10.9,60.0,60.0,Dropout
77,21,Male,Single,Tourism,Daytime,106.0,106.0,Yes,Yes,No,6,4,10.5,6,1,11.0,66.7,16.7,Dropout
78,19,Male,Single,Journalism,Daytime,120.3,121.0,Yes,Yes,Yes,6,6,13.7,6,6,13.3,100.0,100.0,Graduate
79,22,Male,Single,Nursing,Daytime,130.8,150.0,Yes,Yes,No,7,7,14.8,8,8,15.1,100.0,100.0,Graduate
80,33,Male,Married,Social Service,Evening,117.0,120.0,No,Yes,No,6,6,12.0,6,6,11.7,100.0,100.0,Graduate
81,20,Male,Single,Basic Education,Daytime,110.2,114.0,No,Yes,No,6,5,12.2,6,5,12.2,83.3,83.3,Dropout
82,35,Male,Single,Management,Evening,155.7,140.0,No,Yes,No,1,0,0.0,5,0,0.0,0.0,0.0,Dropout
83,24,Male,Single,Agronomy,Daytime,180.4,160.0,No,Yes,Yes,12,6,12.2,12,10,13.3,50.0,83.3,Dropout
84,18,Male,Single,Tourism,Daytime,125.5,120.0,No,Yes,No,5,5,12.0,5,3,11.3,100.0,60.0,Enrolled
85,33,Female,Married,Social Service,Evening,110.0,130.0,No,Yes,No,6,6,11.0,6,5,11.0,100.0,83.3,Graduate
86,22,Female,Single,Nursing,Daytime,161.0,160.0,Yes,Yes,No,8,7,13.1,8,7,13.1,87.5,87.5,Graduate
87,25,Female,Single,Marketing Management,Daytime,100.0,120.0,Yes,Yes,No,5,4,10.5,5,5,11.6,80.0,100.0,Graduate
88,20,Male,Single,Communication Design,Daytime,117.6,124.0,No,Yes,No,6,6,10.7,6,5,11.2,100.0,83.3,Graduate
89,23,Male,Single,Management,Daytime,128.7,143.0,No,Yes,No,5,4,14.0,5,5,13.8,80.0,100.0,Enrolled
90,18,Male,Single,Informatics Engineering,Daytime,112.2,115.0,No,Yes,Yes,5,2,10.0,5,0,0.0,40.0,0.0,Enrolled
91,24,Male,Single,Nursing,Daytime,100.8,133.1,No,Yes,No,7,0,0.0,7,0,0.0,0.0,0.0,Dropout
92,21,Female,Single,Journalism,Daytime,105.0,133.1,No,No,No,6,6,14.0,6,6,13.5,100.0,100.0,Graduate
93,26,Female,Single,Equinculture,Daytime,100.0,133.1,No,Yes,No,6,2,12.0,6,0,0.0,33.3,0.0,Dropout
94,39,Female,Married,Basic Education,Daytime,115.5,133.1,No,Yes,No,6,3,12.7,6,0,0.0,50.0,0.0,Dropout
95,44,Female,Married,Social Service,Evening,114.0,133.1,No,Yes,No,8,8,11.9,6,6,12.3,100.0,100.0,Graduate
96,19,Male,Single,Informatics Engineering,Daytime,137.0,130.0,No,Yes,No,5,5,14.0,5,3,13.2,100.0,60.0,Enrolled
97,18,Female,Single,Journalism,Daytime,124.9,135.0,No,Yes,No,6,6,13.7,6,6,13.3,100.0,100.0,Graduate
98,18,Female,Single,Nursing,Daytime,120.3,132.0,Yes,Yes,No,7,7,13.8,8,8,14.5,100.0,100.0,Graduate
99,19,Female,Single,Veterinary Nursing,Daytime,134.3,135.0,No,Yes,No,5,5,14.2,5,5,13.8,100.0,100.0,Enrolled
100,19,Female,Single,Nursing,Daytime,111.5,115.0,No,No,Yes,7,4,12.0,7,0,0.0,57.1,0.0,Dropout
101,21,Female,Single,Veterinary Nursing,Daytime,128.8,130.0,No,Yes,No,10,8,12.9,9,5,13.4,80.0,55.6,Dropout
102,20,Female,Single,Animation & Design,Daytime,110.0,133.1,No,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Graduate
103,36,Female,Married,Social Service,Evening,113.5,130.0,No,Yes,No,6,0,0.0,6,0,0.0,0.0,0.0,Dropout
104,43,Female,Divorced,Agronomy,Daytime,160.0,133.1,No,Yes,No,18,18,14.6,13,13,14.2,100.0,100.0,Graduate
105,19,Female,Single,Basic Education,Daytime,117.4,123.0,No,Yes,No,6,0,0.0,6,0,0.0,0.0,0.0,Dropout
106,20,Female,Single,Communication Design,Daytime,122.2,130.0,No,Yes,Yes,10,10,13.0,11,11,12.3,100.0,100.0,Graduate
107,19,Female,Single,Social Service,Daytime,118.2,122.0,No,Yes,No,6,0,0.0,6,0,0.0,0.0,0.0,Dropout
108,20,Female,Single,Veterinary Nursing,Daytime,106.7,113.0,No,Yes,No,6,4,14.2,6,4,13.2,66.7,66.7,Dropout
109,20,Female,Single,Nursing,Daytime,108.2,111.0,No,Yes,No,7,6,13.3,7,5,12.3,85.7,71.4,Dropout
110,20,Female,Single,Basic Education,Daytime,107.0,133.1,No,Yes,No,7,6,11.7,7,3,13.0,85.7,42.9,Enrolled
111,18,Female,Single,Social Service,Daytime,136.1,142.0,No,Yes,No,6,6,13.9,6,6,15.0,100.0,100.0,Graduate
112,18,Female,Single,Management,Daytime,115.3,123.0,Yes,Yes,No,5,3,13.0,5,3,11.0,60.0,60.0,Enrolled
113,19,Female,Single,Veterinary Nursing,Daytime,139.8,131.0,No,Yes,No,5,5,13.4,5,5,12.8,100.0,100.0,Graduate
114,18,Female,Single,Journalism,Daytime,157.0,158.0,No,Yes,No,6,6,12.7,6,6,12.6,100.0,100.0,Graduate
115,18,Female,Single,Nursing,Daytime,131.0,122.0,No,Yes,No,7,6,12.5,7,6,12.5,85.7,85.7,Dropout
116,20,Female,Single,Nursing,Daytime,100.0,130.0,No,Yes,No,7,6,11.6,7,7,13.0,85.7,100.0,Enrolled
117,20,Female,Single,Social Service,Daytime,140.4,154.0,Yes,Yes,No,6,2,10.0,6,4,10.8,33.3,66.7,Enrolled
118,20,Female,Single,Management,Daytime,113.4,120.0,No,Yes,No,5,3,10.3,5,3,10.7,60.0,60.0,Enrolled
119,18,Female,Single,Veterinary Nursing,Daytime,137.0,140.0,No,Yes,No,5,5,13.1,5,5,11.4,100.0,100.0,Graduate
120,18,Female,Single,Management,Daytime,121.8,127.0,No,Yes,No,5,5,12.6,5,5,14.0,100.0,100.0,Graduate
121,21,Female,Single,Tourism,Daytime,131.0,133.1,No,Yes,No,6,3,11.0,6,2,11.0,50.0,33.3,Dropout
122,19,Female,Single,Management,Daytime,118.6,120.0,No,Yes,No,5,5,10.8,5,4,11.2,100.0,80.0,Graduate
123,19,Female,Single,Animation & Design,Daytime,122.3,137.0,No,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Dropout
124,19,Female,Single,Marketing Management,Daytime,127.9,131.0,Yes,Yes,No,5,5,12.8,5,5,14.2,100.0,100.0,Graduate
125,19,Female,Single,Veterinary Nursing,Daytime,121.3,130.0,No,Yes,No,6,6,14.2,6,6,12.2,100.0,100.0,Graduate
126,19,Female,Single,Oral Hygiene,Daytime,117.1,122.0,No,Yes,No,7,5,12.1,7,0,0.0,71.4,0.0,Dropout
127,20,Female,Single,Veterinary Nursing,Daytime,160.0,160.0,No,Yes,No,6,6,14.2,6,5,13.8,100.0,83.3,Graduate
128,18,Female,Single,Basic Education,Daytime,145.3,146.0,Yes,Yes,No,6,5,12.8,6,5,13.4,83.3,83.3,Enrolled
129,18,Female,Single,Social Service,Daytime,122.6,131.0,No,Yes,No,6,6,13.0,6,6,13.7,100.0,100.0,Graduate
130,19,Female,Single,Nursing,Daytime,128.0,132.0,No,Yes,No,7,7,13.5,8,8,15.0,100.0,100.0,Graduate
131,18,Female,Single,Nursing,Daytime,124.9,138.0,Yes,Yes,No,7,7,13.2,8,7,13.7,100.0,87.5,Dropout
132,18,Female,Single,Communication Design,Daytime,123.7,130.0,No,Yes,No,6,6,12.3,6,6,13.0,100.0,100.0,Graduate
133,19,Female,Single,Management,Daytime,120.1,126.0,No,Yes,No,5,5,12.4,5,5,14.6,100.0,100.0,Graduate
134,19,Female,Single,Nursing,Daytime,131.7,148.0,No,Yes,No,7,5,14.0,7,0,0.0,71.4,0.0,Dropout
135,20,Female,Single,Social Service,Daytime,133.2,130.0,No,Yes,No,9,9,11.7,7,7,11.7,100.0,100.0,Graduate
136,19,Female,Single,Marketing Management,Daytime,109.3,117.0,Yes,No,Yes,6,5,12.0,6,4,12.5,83.3,66.7,Dropout
137,20,Female,Single,Marketing Management,Daytime,113.0,120.0,No,Yes,No,5,4,12.2,5,4,11.5,80.0,80.0,Graduate
138,18,Female,Single,Journalism,Daytime,157.9,153.0,Yes,Yes,Yes,6,6,14.8,6,6,14.8,100.0,100.0,Graduate
139,20,Female,Single,Nursing,Daytime,112.1,117.0,Yes,Yes,No,7,5,13.2,8,7,12.9,71.4,87.5,Enrolled
140,18,Female,Single,Nursing,Daytime,174.7,178.0,No,Yes,No,7,7,17.1,8,8,17.6,100.0,100.0,Graduate
141,19,Female,Single,Nursing,Daytime,128.8,129.0,No,Yes,No,7,6,12.7,7,6,12.7,85.7,85.7,Graduate
142,19,Female,Single,Journalism,Daytime,110.1,116.0,Yes,Yes,No,6,6,12.7,6,5,12.0,100.0,83.3,Graduate
143,22,Female,Single,Management,Daytime,99.7,99.0,No,No,Yes,5,0,0.0,5,0,0.0,0.0,0.0,Enrolled
144,19,Female,Single,Social Service,Daytime,121.0,135.0,Yes,Yes,No,6,6,11.3,6,6,11.5,100.0,100.0,Graduate
145,19,Female,Single,Nursing,Daytime,131.7,141.0,Yes,Yes,No,7,7,13.6,8,8,12.3,100.0,100.0,Graduate
146,19,Female,Single,Basic Education,Daytime,119.1,132.0,Yes,Yes,No,6,5,12.0,6,5,10.8,83.3,83.3,Graduate
147,19,Female,Single,Tourism,Daytime,124.7,132.0,No,Yes,No,5,0,0.0,5,0,0.0,0.0,0.0,Dropout
148,20,Female,Single,Tourism,Daytime,117.2,113.0,No,Yes,No,6,5,11.2,6,3,11.7,83.3,50.0,Dropout
149,18,Female,Single,Management,Daytime,128.8,134.0,No,Yes,No,5,5,13.4,5,5,14.2,100.0,100.0,Graduate
150,20,Female,Single,Nursing,Daytime,131.5,136.0,Yes,Yes,No,7,6,13.9,8,7,14.2,85.7,87.5,Graduate
151,18,Female,Single,Animation & Design,Daytime,121.7,136.0,No,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Enrolled
152,19,Female,Single,Veterinary Nursing,Daytime,123.4,129.0,No,Yes,No,5,5,12.4,5,5,13.4,100.0,100.0,Graduate
153,18,Female,Single,Basic Education,Daytime,124.7,138.0,No,Yes,No,6,3,12.3,6,5,10.8,50.0,83.3,Enrolled
154,18,Female,Single,Basic Education,Daytime,132.8,137.0,No,Yes,No,6,6,13.3,6,5,11.8,100.0,83.3,Graduate
155,21,Female,Single,Basic Education,Daytime,108.7,115.0,No,Yes,No,6,3,12.7,6,3,10.0,50.0,50.0,Dropout
156,19,Female,Single,Basic Education,Daytime,138.1,129.0,No,Yes,No,6,6,12.0,6,4,11.5,100.0,66.7,Dropout
157,18,Female,Single,Management,Daytime,126.5,131.0,Yes,Yes,No,5,5,10.6,5,5,11.8,100.0,100.0,Graduate
158,18,Female,Single,Social Service,Daytime,127.4,133.0,Yes,Yes,No,6,6,12.2,6,6,11.9,100.0,100.0,Graduate
159,20,Female,Single,Social Service,Daytime,123.6,125.0,No,Yes,No,6,4,11.0,6,6,11.8,66.7,100.0,Graduate
160,24,Female,Single,Social Service,Evening,122.0,120.0,Yes,Yes,No,6,5,11.0,6,5,12.6,83.3,83.3,Graduate
161,19,Female,Single,Marketing Management,Daytime,118.2,128.0,No,Yes,No,6,6,13.2,6,6,13.0,100.0,100.0,Dropout
162,18,Female,Single,Nursing,Daytime,123.9,127.0,Yes,Yes,No,7,7,12.9,8,7,12.8,100.0,87.5,Graduate
163,18,Female,Single,Nursing,Daytime,125.8,134.0,No,Yes,No,7,7,14.9,8,8,15.4,100.0,100.0,Graduate
164,21,Female,Single,Basic Education,Daytime,123.3,132.0,No,Yes,No,6,4,11.5,6,3,11.0,66.7,50.0,Dropout
165,19,Female,Single,Marketing Management,Daytime,124.4,124.0,No,Yes,No,5,5,14.2,5,5,14.2,100.0,100.0,Graduate
166,19,Female,Single,Journalism,Daytime,126.0,133.1,Yes,Yes,No,6,6,12.5,6,6,13.0,100.0,100.0,Graduate
167,47,Female,Widowed,Agronomy,Daytime,170.0,170.0,No,Yes,Yes,1,0,0.0,6,0,0.0,0.0,0.0,Enrolled
168,19,Female,Single,Social Service,Daytime,121.5,125.0,No,Yes,No,6,5,11.7,6,4,11.0,83.3,66.7,Graduate
169,29,Female,Single,Nursing,Daytime,130.0,130.0,No,Yes,No,8,7,14.3,8,7,14.3,87.5,87.5,Graduate
170,21,Female,Single,Social Service,Daytime,117.0,125.0,No,Yes,No,6,3,12.0,6,2,11.3,50.0,33.3,Dropout
171,28,Female,Single,Veterinary Nursing,Daytime,130.0,130.0,No,Yes,No,5,4,11.2,5,4,10.5,80.0,80.0,Enrolled
172,20,Female,Single,Oral Hygiene,Daytime,108.0,133.1,No,Yes,No,7,7,12.5,8,8,13.6,100.0,100.0,Graduate
173,19,Female,Single,Nursing,Daytime,132.3,131.0,No,Yes,No,7,6,11.7,7,6,11.7,85.7,85.7,Graduate
174,26,Female,Single,Social Service,Evening,148.0,150.0,No,Yes,No,6,3,11.7,6,5,12.0,50.0,83.3,Graduate
175,20,Female,Single,Tourism,Daytime,122.6,125.0,No,No,Yes,6,4,11.8,6,6,13.2,66.7,100.0,Dropout
176,18,Female,Single,Marketing Management,Daytime,123.0,131.0,Yes,Yes,No,5,3,11.7,5,4,13.5,60.0,80.0,Enrolled
177,27,Female,Single,Basic Education,Daytime,102.5,130.0,No,Yes,No,6,5,13.2,6,5,12.0,83.3,83.3,Graduate
178,20,Female,Single,Nursing,Daytime,113.3,123.0,No,Yes,No,7,4,12.0,7,4,12.0,57.1,57.1,Dropout
179,18,Female,Single,Basic Education,Daytime,133.0,141.0,No,Yes,No,6,5,12.4,6,5,10.4,83.3,83.3,Dropout
180,33,Female,Single,Nursing,Daytime,140.0,140.0,No,Yes,No,7,6,14.4,8,6,14.6,85.7,75.0,Dropout
181,35,Female,Single,Basic Education,Daytime,128.3,140.0,No,Yes,No,21,21,12.6,19,19,12.8,100.0,100.0,Graduate
182,26,Female,Single,Management,Evening,140.0,140.0,Yes,Yes,No,6,6,12.7,6,6,13.2,100.0,100.0,Enrolled
183,27,Female,Single,Journalism,Daytime,104.0,133.1,No,No,Yes,6,5,12.0,6,0,0.0,83.3,0.0,Dropout
184,19,Female,Single,Communication Design,Daytime,122.3,131.0,No,No,No,6,6,12.2,6,0,0.0,100.0,0.0,Dropout
185,20,Female,Single,Tourism,Daytime,135.0,143.0,No,Yes,No,6,0,0.0,6,0,0.0,0.0,0.0,Dropout
186,20,Female,Single,Management,Daytime,119.1,132.0,No,No,Yes,5,3,10.0,5,3,10.6,60.0,60.0,Dropout
187,21,Female,Single,Social Service,Daytime,126.6,143.0,No,No,Yes,10,8,11.5,6,4,10.0,80.0,66.7,Enrolled
188,18,Female,Single,Nursing,Daytime,129.0,141.0,Yes,Yes,No,7,6,13.0,7,6,13.0,85.7,85.7,Graduate
189,24,Female,Single,Veterinary Nursing,Daytime,162.3,133.1,No,Yes,No,6,2,11.0,6,0,0.0,33.3,0.0,Dropout
190,20,Female,Single,Communication Design,Daytime,163.4,148.0,No,Yes,No,6,6,11.5,6,6,12.0,100.0,100.0,Graduate
191,21,Female,Single,Tourism,Daytime,121.5,125.0,Yes,Yes,No,6,6,12.0,6,6,12.5,100.0,100.0,Graduate
192,23,Female,Single,Social Service,Evening,122.8,120.0,No,Yes,No,6,2,10.0,5,1,10.0,33.3,20.0,Enrolled
193,24,Female,Single,Management,Daytime,118.0,140.0,No,Yes,No,5,0,0.0,5,0,0.0,0.0,0.0,Dropout
194,21,Female,Single,Basic Education,Daytime,134.0,139.0,No,Yes,No,6,0,0.0,6,0,0.0,0.0,0.0,Dropout
195,18,Female,Single,Nursing,Daytime,129.8,142.0,No,Yes,No,8,7,12.2,8,7,12.2,87.5,87.5,Graduate
196,27,Female,Single,Management,Evening,152.0,130.0,No,Yes,No,5,0,0.0,5,0,0.0,0.0,0.0,Dropout
197,18,Female,Single,Nursing,Daytime,122.8,126.0,No,Yes,No,8,8,12.9,8,8,12.9,100.0,100.0,Graduate
198,35,Female,Single,Informatics Engineering,Daytime,150.0,150.0,No,Yes,No,5,0,0.0,5,0,0.0,0.0,0.0,Dropout
199,18,Female,Single,Basic Education,Daytime,131.8,130.0,No,Yes,No,7,7,12.6,7,7,14.4,100.0,100.0,Graduate
200,35,Female,Single,Nursing,Daytime,105.9,120.0,No,Yes,No,3,3,11.8,3,3,11.3,100.0,100.0,Enrolled
201,19,Female,Single,Veterinary Nursing,Daytime,132.1,138.0,No,Yes,No,5,4,13.8,5,4,14.3,80.0,80.0,Graduate
202,20,Female,Single,Social Service,Daytime,127.4,127.0,No,Yes,No,6,6,11.2,6,6,11.3,100.0,100.0,Graduate
203,18,Female,Single,Nursing,Daytime,129.5,140.0,No,Yes,No,8,7,12.3,8,7,12.3,87.5,87.5,Graduate
204,21,Female,Single,Social Service,Daytime,126.7,130.0,No,Yes,Yes,6,6,12.2,6,6,11.7,100.0,100.0,Graduate
205,18,Female,Single,Social Service,Daytime,116.5,128.0,Yes,Yes,No,6,5,11.1,6,4,11.2,83.3,66.7,Graduate
206,18,Female,Single,Social Service,Daytime,119.1,132.0,No,Yes,No,6,4,11.0,6,4,10.8,66.7,66.7,Graduate
207,18,Female,Single,Nursing,Daytime,126.5,149.0,No,Yes,No,8,7,12.9,8,7,12.9,87.5,87.5,Graduate
